case,session,source_file,page,parser_speaker,blind_read_label,agree,opening_words,which_occurrence,reader_notes
h001,2000-09-07_r50,2000-09-07_r50_ORDINARIA.html,,Sr. Presidente (Genoud),Sr. Presidente (Genoud).--,yes,La Presidencia vela por el cumplimiento del Reglamento.,,
h002,1999-04-14_r08,1999-04-14_r08_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,Tiene la palabra el señor senador por Mendoza.,4 of 5,
h003,1999-12-22_r69,1999-12-22_r69_EXTRAORDINARIA.html,,Sr. PARDO,Sr. PARDO.-,yes,"Señor presidente: realmente, lo que ha expresado el senador Menem es lo que me hubiese gustado decir, pero quiero destacar que la indignación que sentían los senadores de la Alianza,",,
h004,1999-10-27_r52,1999-10-27_r52_ORDINARIA.html,,Sr. PRESIDENTE (Cafiero),Sr. PRESIDENTE (Cafiero).-,yes,Corresponde considerar el dictamen de las comisiones de Presupuesto y Hacienda y de Agricultura y Ganadería en el proyecto de comunicación del señor senador Salum por el que se solicita,,
h005,2001-06-20_r41,2001-06-20_r41_ORDINARIA.html,,Sr. Gagliardi,Sr. Gagliardi. --,yes,Pido la palabra.,4 of 15,
h006,1998-06-24_r26,1998-06-24_r26_ORDINARIA.html,,Sr. YOMA,Sr. YOMA.-,yes,La concedo.,1 of 2,
h007,1999-10-27_r52,1999-10-27_r52_ORDINARIA.html,,Sr. PRESIDENTE (Cafiero),Sr. PRESIDENTE (Cafiero).-,yes,Corresponde considerar el dictamen de la Comisión Parlamentaria Mixta Revisora de Cuentas de la Administración en el expediente Oficiales Varios 152 y 150/95 por el cual la Auditoría General de,,
h008,1998-11-26_r65,1998-11-26_r65_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,Corresponde considerar el dictamen de las comisiones de Interior y Justicia y de Presupuesto y Hacienda en el proyecto de ley del Poder Ejecutivo por el que se sustituye un,,
h009,2003-03-06_r02,2003-03-06_r02_ORDINARIA.html,,Sr. Presidente (Gioja),Sr. Presidente (Gioja).--,yes,"En consideración en general. Si no se hace uso de la palabra, se va a votar.",68 of 108,
h010,2001-05-03_r24,2001-05-03_r24_ORDINARIA.html,,Sr. Maya,Sr. Maya.--,yes,Señor presidente...,,
h011,1998-04-22_r11,1998-04-22_r11_ORDINARIA.html,,Sr. PROSECRETARIO (Pontaquarto),Sr. PROSECRETARIO (Pontaquarto).-,yes,"(Lee:) ""Artículo 9: El Poder Ejecutivo Nacional deberá reglamentar la presente ley dentro de los treinta días de su promulgación.""",,"Spoken aloud on the floor: the Prosecretario reads the bill article into the record during article-by-article debate, not an inserted document handed in separately."
h012,2003-07-02_r14,2003-07-02_r14_ORDINARIA.html,,Sr. Presidente (Gioja),Sr. Presidente (Gioja).--,yes,"En consecuencia, pasa al Archivo.",17 of 22,
h013,2001-08-08_r50,2001-08-08_r50_ORDINARIA.html,,Sr. Presidente (Losada),Sr. Presidente (Losada).--,yes,Queda aprobada la declaración. Se procederá en consecuencia.,2 of 9,"which_occurrence said '2 of 9' but I count 10 occurrences of this exact phrase in the file; occurrence 2 in my count is still clearly Sr. Presidente (Losada), same as occurrence 1 and most others, so the count mismatch does not change the answer."
h014,2000-08-09_r42,2000-08-09_r42_ORDINARIA.html,,Sr. Presidente,Sr. Presidente. --,yes,"Si no se hace uso de la palabra, se va a votar el artículo 13 con la redacción propuesta por el señor senador Villarroel.",,
h015,2000-04-05_r11,2000-04-05_r11_ORDINARIA.html,,Sr. Presidente,Sr. Presidente. --,yes,"En consideración la moción formulada por el señor senador por La Pampa. Si no se hace uso de la palabra, se va a votar.",,
h016,2000-08-02_r38,2000-08-02_r38_ORDINARIA.html,,Sr. Presidente,Sr. Presidente. --,yes,Corresponde considerar el dictamen de las comisiones de Presupuesto y Hacienda y de Trabajo y Previsión Social en el proyecto de comunicación del señor senador Molinari Romero por el que,,
h017,2002-03-14_r03,2002-03-14_r03_ORDINARIA.html,,Sr. Guinle,Sr. Guinle. --,yes,"Señor presidente: voy a tratar de ser lo más telegráfico posible. En realidad, se ha analizado el convenio firmado por el presidente y gobernadores al fundar el dictamen que está",,
h018,2000-06-21_r27,2000-06-21_r27_ORDINARIA.html,,Sr. Presidente (Genoud),Sr. Presidente (Genoud). --,yes,Corresponde considerar el dictamen de las comisiones de Deportes y de Drogadicción y Narcotráfico en el proyecto de declaración del señor senador Del Piero por el que se declara de,,
h019,1999-08-04_r37,1999-08-04_r37_ORDINARIA.html,,Sr. GALVÁN,Sr. GALVÁN.-,yes,Señor presidente: quiero informar a la Honorable Cámara que la Comisión de Seguimiento de los Atentados a la Embajada de Israel y de la AMIA ha producido el segundo dictamen,,
h020,2001-08-08_r50,2001-08-08_r50_ORDINARIA.html,,Sr. Presidente (Menem),Sr. Presidente (Losada). --,no,Tiene la palabra el señor senador Gioja.,3 of 3,"the sheet's old occurrence count sent the reader to a different printing of the same stock phrase; the page prints the parser's label immediately before every block the parser gives it (checked, this file) | reader: which_occurrence said '3 of 3' but I count 4 occurrences of the phrase; occurrence 3 in my count is preceded by Sr. Gioja saying 'Pido la palabra' then Sr. Presidente (Losada) granting it, same pattern as the other matches."
h021,1999-11-10_r57,1999-11-10_r57_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,Queda aprobada la declaración. Se procederá en consecuencia.,6 of 17,"which_occurrence said '6 of 17' but I count 18 occurrences; occurrence 6 in my count is unambiguously Sr. PRESIDENTE (Menem), consistent with the surrounding pattern."
h022,2001-05-16_r33,2001-05-16_r33_ORDINARIA.html,,Sr. Presidente (Menem),Sr. Presidente (Menem). --,yes,"En consideración en general. Si no se hace uso de la palabra, se va a votar.",55 of 63,
h023,2002-09-25_r25,2002-09-25_r25_ORDINARIA.html,,Sr. Presidente (López Arias),Sr. Presidente (López Arias).--,yes,Había entendido que levantaba la mano. Estoy ya tan susceptible que no quiero dejar sin la palabra a nadie. Tiene la palabra el señor senador Lamberto.,,
h024,1999-08-04_r37,1999-08-04_r37_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,"En consideración en general. Si no se hace uso de la palabra, se va a votar.",23 of 130,
h025,2001-03-07_r02,2001-03-07_r02_ORDINARIA.html,,Sr. Secretario (Oyarzún),Sr. Secretario (Oyarzún).--,yes,(Lee:),58 of 85,"which_occurrence said '58 of 85' but I count 102 occurrences of '(Lee:)' in the file. Every single occurrence I checked (including several not immediately preceded by a fresh speaker label, where the Secretary continues reading after noting an amendment) is spoken by Sr. Secretario (Oyarzún) -- there is no other speaker who says '(Lee:)' in this file, so the count mismatch does not change the answer."
h026,1999-09-15_r45,1999-09-15_r45_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,"Corresponde considerar el dictamen de la Comisión de Ecología y Desarrollo Humano en el proyecto de resolución del señor senador San Millán por el que se auspicia la ""Jornada de",,
h027,2001-06-13_r38,2001-06-13_r38_ORDINARIA.html,,Sr. Secretario (Oyarzún),Sr. Secretario (Oyarzún).,yes,(Lee:),112 of 112,
h028,1999-11-10_r57,1999-11-10_r57_ORDINARIA.html,,Sr. SECRETARIO (Oyarzún),Sr. SECRETARIO (Oyarzún).-,yes,(Lee:) .,41 of 74,
h029,2003-05-07_r08,2003-05-07_r08_ORDINARIA.html,,Sr. Baglini,Sr. Baglini.,yes,"Señor presidente: tengo una inquietud con relación al artículo 6 viejo, que es el 5 actual. Dicha disposición va a ratificar el decreto, y sería una muy buena ocasión para",,
h030,2003-05-07_r08,2003-05-07_r08_ORDINARIA.html,,Sr. Moro,Sr. Moro.,yes,"Señor presidente: es al sólo efecto de hacer constar mi voto negativo al artículo 6°, ex 7°.",,
h031,2003-03-06_r02,2003-03-06_r02_ORDINARIA.html,,Sr. Presidente (Gioja),Sr. Presidente (Gioja).,yes,"Corresponde considerar el dictamen de las comisiones de Combustibles, de Transportes y de Presupuesto y Hacienda en el proyecto de comunicación de la señora senadora Curletti y otros señores senadores",,
h032,2002-05-30_r13,2002-05-30_r13_ORDINARIA.html,,Sr. Passo,Sr. Passo.,yes,"¿Puedo continuar, señor presidente?",,
h033,1999-09-15_r45,1999-09-15_r45_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,Se tomará nota y se dará a conocimiento de los señores senadores. Tiene la palabra el señor senador por Santiago del Estero.,,"Passage spans two paragraphs (""Se tomará nota..."" and ""Tiene la palabra..."") but only the first carries a speaker label; the second has none, so it continues the same PRESIDENTE turn."
h034,2002-03-14_r03,2002-03-14_r03_ORDINARIA.html,,Sr. Gioja,Sr. Gioja.,yes,"Señor presidente: a raíz de pedidos formulados por algunos señores senadores, vamos a solicitar que este tema vuelva a la comisión respectiva.",,
h035,1998-08-12_r34,1998-08-12_r34_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,Dictamen de las comisiones de Educación y de Cultura en el proyecto de resolución de la señora senadora Rivas por el que se declara de interés educativo y cultural la,,
h036,2003-03-06_r02,2003-03-06_r02_ORDINARIA.html,,Sr. Presidente (Gioja),Sr. Presidente (Gioja).,yes,Corresponde considerar el dictamen de la Comisión de Asesoramiento del Mercosur en el proyecto de comunicación del señor senador Taffarel y de la señora senadora Bar por el que se,,"The full phrase (Taffarel y Bar dictamen) recurs 5 times in this session for different agenda items; took the 1st since which_occurrence was blank. All instances I sampled are announced by the same Sr. Presidente (Gioja), so this is unlikely to matter."
h037,2002-11-21_r35,2002-11-21_r35_ORDINARIA.html,,Sr. Presidente (Maqueda),Sr. Presidente (Maqueda).,yes,Senador Morales: el senador Menem le solicita una interrupción.,,
h038,2003-03-06_r02,2003-03-06_r02_ORDINARIA.html,,Sr. Presidente (Gioja),Sr. Presidente (Gioja).,yes,Corresponde considerar el dictamen de las comisiones de Asuntos Administrativos y Municipales y de Defensa de los Derechos de Usuarios y Consumidores en el proyecto de comunicación de la señora,,
h039,2000-08-09_r42,2000-08-09_r42_ORDINARIA.html,,Sr. Presidente,Sr. Presidente.,yes,"Disculpe, señor senador.",,"No name in parentheses on this label -- printed plainly as ""Sr. Presidente. --""."
h040,1998-12-07_r68,1998-12-07_r68_ESPECIAL.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,"En consideración la moción formulada por el señor senador por Formosa. Si no se hace uso de la palabra, se va a votar.",,
h041,2003-05-07_r08,2003-05-07_r08_ORDINARIA.html,,Sr. Presidente (Gioja),Sr. Presidente (Gioja).,yes,Tiene la palabra el señor senador Moro.,,
h042,1998-11-26_r65,1998-11-26_r65_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,Tiene la palabra la señora senadora por Tucumán.,1 of 3,
