codepoint,fonts,occurrences_in_pdfs,pdfs,parser_reads_it_as,what_the_page_shows,printed_context
0xf0b0,Symbol (816),816,59,°,"the ordinal of ""5° Reunión""",NADO DE LA NACIÓN VERSIÓN TAQUIGRÁFICA 1□ Reunión - Sesión preparatoria- 23 de f
0xf020,Symbol (522); WP Phonetic (28),550,14,a space,"the space of ""Pág. 5"" in the running head",rovisional - sesión especial       Pág.□□2  SUMARIO  Izamiento de la bandera nac
0xf02e,Symbol (522),522,13,.,"the stop of ""Pág. 5"" in the running head",provisional - sesión especial       Pág.□□2  SUMARIO  Izamiento de la bandera na
0xf02d,Symbol (264),264,12,–,the dash that opens a parenthetical,"r en una sesión como bloque unipersonal □el bloque Misiones□, y la historia me h"
0xf8e7,SymbolMT (158),158,4,—,the dash after a speaker's label,te este proyecto de ley.Sr. Presidente. □ Tiene la palabra el senador Rached.Sr.
0xf045,WP MathA (17); Symbol (83),100,6,°,the same ordinal,"l Juzgado Federal de Primera Instancia N□ 2 en Paraná, Entre Ríos. 61. Acuerdo c"
0xf050,Symbol (99),99,5,P,"the P of ""Pág.""; never reaches the text","ón provisional - sesión ordinaria       □á□□□2  SUMARIO    — En Buenos Aires, a "
0xf067,Symbol (99),99,5,g,"the g of ""Pág.""; never reaches the text"," provisional - sesión ordinaria       □á□□□2  SUMARIO    — En Buenos Aires, a la"
0xf0b7,Symbol (39),39,7,•,the bullet of a printed list,char contra la pobreza y la injusticia– □ Se estima que 9 de cada 10 empresas de
0xf05f,Symbol (10),10,2,°,the same ordinal (thin evidence),"o, Córdoba. O.D.-336/08: Adhesión al 192□aniversario de la declaración de la Ind"
0xe83a,TimesNewRomanPSMT (9),9,1,—,a parenthetical dash (thin evidence), la realidad de nuestro país.  No niego □de hecho lo sabe este gobierno□ que hay
0xf0bc,Symbol (8),8,2,…,the ellipsis of a trailing-off turn (thin evidence),"es de comisión de las que he participado□ No puedo aseverarlo, porque, además, n"
0xf022,Symbol (1),1,1,,"REMOVED, not translated: prints an upside-down A inside the word ""categoría"" (thin evidence)","wered Award of Excelence@ en la categorí□a APlantas@, al Amodelo virtual@ realiz"
0xf041,WP MathA (1),1,1,a space,"WordPerfect's hard space, drawn as a raised dot (thin evidence)","odificar reglas de juego, son las reglas□del juego democrático.   En ese sentido"
